NE,Card,Object,Tx Optical Power(dBm),Rx Optical Power(dBm),Tx Laser Bias Current(mA),Transceiver Temperature(Celsius),3.3V supply voltage(V),+5V supply voltage(V),+1.8V supply voltage(V),XFP temperature(Celsius),TEC current(mA),Laser wavelength(nm)
IGES,A1:SAM_4,oPort 1-SFP,1.0,-16.7,30.0,43.2,3.28,NA,NA,NA,NA,NA
IGES,A2:SAM_4,oPort 1-SFP,-10.0,-25.9,9.7,20.7,3.27,NA,NA,NA,NA,NA
VES,A1:SAM_4,oPort 1-SFP,1.4,-15.8,30.0,42.4,3.28,NA,NA,NA,NA,NA
VES,A2:SAM_4,oPort 1-SFP,1.5,-9.8,30.1,44.9,3.28,NA,NA,NA,NA,NA
TEC-9,A1:SAM_4,oPort 1-SFP,-10.1,-14.1,10.1,23.4,3.28,NA,NA,NA,NA,NA
TEC-9,A2:SAM_4,oPort 1-SFP,-10.0,-15.4,10.1,23.8,3.28,NA,NA,NA,NA,NA
Kirovskaya_ITC,A1:SAM_4,oPort 1-SFP,1.2,-10.7,30.0,41.9,3.28,NA,NA,NA,NA,NA
Kirovskaya_ITC,A2:SAM_4,oPort 1-SFP,2.9,-13.4,34.4,29.6,3.49,NA,NA,NA,NA,NA
TEC-1,A1:SAM_4,oPort 1-SFP,-10.0,-13.4,10.9,30.6,3.28,NA,NA,NA,NA,NA
TEC-1,A2:SAM_4,oPort 1-SFP,-10.0,-12.8,11.6,31.4,3.28,NA,NA,NA,NA,NA
BCBK_BG,XS A:SAM_16,oPort 1-SFP,-3.0,-2.5,19.4,37.9,3.33,NA,NA,NA,NA,NA
BCBK_BG,XS B:SAM_16,oPort 1-SFP,0.5,-9.9,22.6,44.0,3.31,NA,NA,NA,NA,NA
BCBK_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-4.7,13.7,34.1,3.26,NA,NA,NA,NA,NA
BCBK_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,32.2,3.28,NA,NA,NA,NA,NA
Pereval,XS A:SAM_16,oPort 1-SFP,0.6,-23.0,20.9,37.8,3.31,NA,NA,NA,NA,NA
Pereval,XS B:SAM_16,oPort 1-SFP,0.5,-11.2,20.1,35.0,3.31,NA,NA,NA,NA,NA
Pereval,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-6.6,12.0,26.5,3.28,NA,NA,NA,NA,NA
