NE,Card,Object,Tx Optical Power(dBm),Rx Optical Power(dBm),Tx Laser Bias Current(mA),Transceiver Temperature(Celsius),3.3V supply voltage(V),+5V supply voltage(V),+1.8V supply voltage(V),XFP temperature(Celsius),TEC current(mA),Laser wavelength(nm)
IGES,A1:SAM_4,oPort 1-SFP,1.0,-16.7,30.0,44.5,3.28,NA,NA,NA,NA,NA
IGES,A2:SAM_4,oPort 1-SFP,-10.0,-25.9,9.8,21.8,3.27,NA,NA,NA,NA,NA
VES,A1:SAM_4,oPort 1-SFP,1.4,-16.0,30.0,42.9,3.28,NA,NA,NA,NA,NA
VES,A2:SAM_4,oPort 1-SFP,1.5,-9.8,30.1,46.8,3.28,NA,NA,NA,NA,NA
TEC-9,A1:SAM_4,oPort 1-SFP,-10.1,-14.1,10.2,23.8,3.28,NA,NA,NA,NA,NA
TEC-9,A2:SAM_4,oPort 1-SFP,-10.0,-15.4,10.2,24.6,3.28,NA,NA,NA,NA,NA
Kirovskaya_ITC,A1:SAM_4,oPort 1-SFP,1.2,-10.8,30.0,41.4,3.28,NA,NA,NA,NA,NA
Kirovskaya_ITC,A2:SAM_4,oPort 1-SFP,2.9,-13.4,34.4,29.6,3.46,NA,NA,NA,NA,NA
TEC-1,A1:SAM_4,oPort 1-SFP,-10.0,-13.4,10.9,30.8,3.28,NA,NA,NA,NA,NA
TEC-1,A2:SAM_4,oPort 1-SFP,-10.0,-12.8,11.7,31.6,3.27,NA,NA,NA,NA,NA
BCBK_BG,XS A:SAM_16,oPort 1-SFP,-3.0,-2.5,19.5,38.8,3.33,NA,NA,NA,NA,NA
BCBK_BG,XS B:SAM_16,oPort 1-SFP,0.5,-9.9,22.7,44.1,3.31,NA,NA,NA,NA,NA
BCBK_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-4.7,13.7,34.3,3.26,NA,NA,NA,NA,NA
BCBK_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,32.3,3.28,NA,NA,NA,NA,NA
Pereval,XS A:SAM_16,oPort 1-SFP,0.6,-22.8,20.9,37.5,3.31,NA,NA,NA,NA,NA
Pereval,XS B:SAM_16,oPort 1-SFP,0.5,-11.1,20.1,35.1,3.31,NA,NA,NA,NA,NA
Pereval,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-6.6,12.0,26.5,3.28,NA,NA,NA,NA,NA
Pereval,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,24.2,3.29,NA,NA,NA,NA,NA
Rudnaya,XS A:SAM_16,oPort 1-SFP,0.5,-9.5,25.4,51.2,3.3,NA,NA,NA,NA,NA
Rudnaya,XS B:SAM_16,oPort 1-SFP,0.6,-9.2,24.3,48.3,3.31,NA,NA,NA,NA,NA
Rudnaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.1,-5.2,13.1,38.6,3.27,NA,NA,NA,NA,NA
Rudnaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,35.8,3.29,NA,NA,NA,NA,NA
Kultuk_BG,XS A:SAM_16,oPort 1-SFP,0.4,-23.7,23.8,46.8,3.32,NA,NA,NA,NA,NA
Kultuk_BG,XS B:SAM_16,oPort 1-SFP,0.5,-18.8,21.4,45.1,3.31,NA,NA,NA,NA,NA
Kultuk_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.3,12.5,36.5,3.26,NA,NA,NA,NA,NA
Kultuk_BG,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,33.4,3.28,NA,NA,NA,NA,NA
Lugovaya,XS A:SAM_16,oPort 1-SFP,0.5,-10.9,22.4,44.1,3.31,NA,NA,NA,NA,NA
Lugovaya,XS B:SAM_16,oPort 1-SFP,0.5,-24.7,21.0,40.8,3.31,NA,NA,NA,NA,NA
Lugovaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.4,12.7,32.9,3.26,NA,NA,NA,NA,NA
Lugovaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,30.6,3.28,NA,NA,NA,NA,NA
Svetlaya,XS A:SAM_16,oPort 1-SFP,2.0,-12.2,27.5,39.9,3.3,NA,NA,NA,NA,NA
Svetlaya,XS B:SAM_16,oPort 1-SFP,1.7,-11.7,27.5,37.3,3.28,NA,NA,NA,NA,NA
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-6.6,-5.8,9.2,42.1,3.27,NA,NA,NA,NA,NA
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-21.4,-40.0,0.3,36.0,3.29,NA,NA,NA,NA,NA
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 3-SFP,,,,,,,,,,
Svetlaya,TS2:DMGE_4_L2,GE-ETY port 4-SFP,,,,,,,,,,
Klyuchi_3,XS A:SAM_16,oPort 1-SFP,0.6,-16.5,21.3,39.8,3.31,NA,NA,NA,NA,NA
Klyuchi_3,XS B:SAM_16,oPort 1-SFP,0.5,-12.8,20.7,38.0,3.31,NA,NA,NA,NA,NA
Klyuchi_3,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-5.0,-4.6,11.8,29.5,3.26,NA,NA,NA,NA,NA
Klyuchi_3,TS2:DMGE_4_L2,GE-ETY port 2-SFP,-40.0,-40.0,4.0,26.5,3.28,NA,NA,NA,NA,NA
Shelehovo,XS A:SAM_16,oPort 1-SFP,0.4,-22.1,25.3,52.7,3.3,NA,NA,NA,NA,NA
Shelehovo,XS B:SAM_16,oPort 1-SFP,0.5,-23.6,23.8,50.8,3.31,NA,NA,NA,NA,NA
Shelehovo,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.9,-4.6,13.1,40.8,3.27,NA,NA,NA,NA,NA
